instance,method,rep,bestFitness,avgFitness,worstFitness,evaluations,timeMs,populationSize,generations,mutationProb,crossoverProb,tournamentSize,tabuSize
tai100_10_0,RandomSearch,9,336181,0.00,383056,10000,197.197,100,100,0.010,0.700,5,7
tai100_10_0,GA,0,322919,323375.61,324480,10000,151.103,100,100,0.010,0.700,5,7
tai100_10_0,GA,1,326255,326257.15,326470,10000,134.195,100,100,0.010,0.700,5,7
tai100_10_0,GA,2,326905,326905.00,326905,10000,85.492,100,100,0.010,0.700,5,7
tai100_10_0,GA,3,323530,324418.75,324430,10000,116.181,100,100,0.010,0.700,5,7
tai100_10_0,GA,4,324518,326002.86,330962,10000,126.832,100,100,0.010,0.700,5,7
tai100_10_0,GA,5,323654,323655.94,323848,10000,121.304,100,100,0.010,0.700,5,7
tai100_10_0,GA,6,323434,323434.00,323434,10000,120.587,100,100,0.010,0.700,5,7
tai100_10_0,GA,7,324610,325197.69,327307,10000,87.091,100,100,0.010,0.700,5,7
tai100_10_0,GA,8,320336,322153.55,331746,10000,101.088,100,100,0.010,0.700,5,7
tai100_10_0,GA,9,326600,327358.82,333424,10000,172.812,100,100,0.010,0.700,5,7
tai100_10_0,TS,0,352627,352627.00,352627,9900,153.649,100,100,0.010,0.700,5,7
tai100_10_0,TS,1,343863,343863.00,343863,9900,111.135,100,100,0.010,0.700,5,7
tai100_10_0,TS,2,350351,350351.00,350351,9900,143.029,100,100,0.010,0.700,5,7
tai100_10_0,TS,3,347315,347315.00,347315,9900,102.174,100,100,0.010,0.700,5,7
tai100_10_0,TS,4,340518,340518.00,340518,9900,148.464,100,100,0.010,0.700,5,7
tai100_10_0,TS,5,339029,339029.00,339029,9900,120.555,100,100,0.010,0.700,5,7
tai100_10_0,TS,6,337711,337711.00,337711,9900,143.203,100,100,0.010,0.700,5,7
tai100_10_0,TS,7,337321,337321.00,337321,9900,139.070,100,100,0.010,0.700,5,7
tai100_10_0,TS,8,345465,345465.00,345465,9900,170.157,100,100,0.010,0.700,5,7
tai100_10_0,TS,9,338839,338839.00,338839,9900,180.543,100,100,0.010,0.700,5,7
tai100_20_0,Greedy,0,433184,433184.00,433184,100,85.214,100,100,0.010,0.700,5,7
tai100_20_0,RandomSearch,0,416137,0.00,461317,10000,270.719,100,100,0.010,0.700,5,7
tai100_20_0,RandomSearch,1,415926,0.00,457384,10000,257.241,100,100,0.010,0.700,5,7
tai100_20_0,RandomSearch,2,416582,0.00,457227,10000,263.141,100,100,0.010,0.700,5,7
tai100_20_0,RandomSearch,3,413269,0.00,454945,10000,286.254,100,100,0.010,0.700,5,7
tai100_20_0,RandomSearch,4,415899,0.00,459806,10000,262.122,100,100,0.010,0.700,5,7
tai100_20_0,RandomSearch,5,417384,0.00,458250,10000,242.037,100,100,0.010,0.700,5,7
tai100_20_0,RandomSearch,6,416890,0.00,457556,10000,251.338,100,100,0.010,0.700,5,7
tai100_20_0,RandomSearch,7,416484,0.00,458959,10000,247.399,100,100,0.010,0.700,5,7
tai100_20_0,RandomSearch,8,413599,0.00,459575,10000,226.533,100,100,0.010,0.700,5,7
tai100_20_0,RandomSearch,9,412102,0.00,463988,10000,269.064,100,100,0.010,0.700,5,7
tai100_20_0,GA,0,406982,406997.06,408085,10000,269.716,100,100,0.010,0.700,5,7
tai100_20_0,GA,1,403499,403503.85,403984,10000,259.510,100,100,0.010,0.700,5,7
tai100_20_0,GA,2,408394,408394.00,408394,10000,282.336,100,100,0.010,0.700,5,7
tai100_20_0,GA,3,406379,406406.82,408235,10000,256.924,100,100,0.010,0.700,5,7
tai100_20_0,GA,4,405001,405022.31,406668,10000,248.371,100,100,0.010,0.700,5,7
tai100_20_0,GA,5,408118,409506.61,419822,10000,243.439,100,100,0.010,0.700,5,7
tai100_20_0,GA,6,399946,399946.00,399946,10000,251.466,100,100,0.010,0.700,5,7
tai100_20_0,GA,7,411050,411080.75,414125,10000,208.366,100,100,0.010,0.700,5,7
tai100_20_0,GA,8,403779,403952.64,407191,10000,210.821,100,100,0.010,0.700,5,7
tai100_20_0,GA,9,406727,406727.00,406727,10000,242.212,100,100,0.010,0.700,5,7
tai100_20_0,TS,0,424352,424352.00,424352,9900,264.313,100,100,0.010,0.700,5,7
tai100_20_0,TS,1,418617,418617.00,418617,9900,203.211,100,100,0.010,0.700,5,7
tai100_20_0,TS,2,422204,422204.00,422204,9900,206.130,100,100,0.010,0.700,5,7
tai100_20_0,TS,3,426667,426667.00,426667,9900,236.576,100,100,0.010,0.700,5,7
tai100_20_0,TS,4,415114,415114.00,415114,9900,263.892,100,100,0.010,0.700,5,7
tai100_20_0,TS,5,420355,420355.00,420355,9900,263.877,100,100,0.010,0.700,5,7
tai100_20_0,TS,6,426564,426564.00,426564,9900,274.412,100,100,0.010,0.700,5,7
tai100_20_0,TS,7,412883,412883.00,412883,9900,203.345,100,100,0.010,0.700,5,7
tai100_20_0,TS,8,416578,416578.00,416578,9900,209.238,100,100,0.010,0.700,5,7
